Province,cases_100k,deaths_100k,mortality,CO_s5,NO2_s5,O3_s5,SO2_s5,Aerosol_s5,HCHO_s5,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr
Jiangsu,0.768908302,0,0,0.048727182,0.000125836,0.128530584,7.50468E-05,-1.04636244,0.000175415,120.3977765,66.20389447,5.38252606,16.21889871,29.16416437,12.49330551
Jiangxi,2.553745736,0.001052727,0.119617225,0.045073997,4.33909E-05,0.119798765,1.86918E-05,-1.074550228,0.000173247,99.60066257,50.84751502,7.390445307,9.752743842,20.89650119,11.98449577
Jilin,0.27317889,0.003282304,0.833333333,0.040299751,3.62333E-05,0.15874088,0.0001056,-0.931649717,0.00010495,113.0129854,64.35475792,8.87789776,13.31488758,24.39721261,12.43355664
Liaoning,0.322810084,0.005226548,1.785714286,0.045852869,7.20269E-05,0.153538727,0.000154647,-0.969385703,0.00011778,119.5980263,70.44695381,12.75970871,16.70726635,25.23021471,21.64487405
Macao SAR,6.890215893,0,0,0.04330875,0.000125722,0.116335973,-0.0000425,-0.976939939,0.000170445,,,,,,
Nei Mongol,0.310778495,0.004931842,1.136363636,0.033580591,3.34698E-05,0.150963719,0.000092088,-0.779993941,8.13814E-05,90.41010438,57.95311248,8.550681198,11.11857424,26.67469966,14.2186311
Ningxia Hui,0.897910129,0,0,0.03291667,0.000049,0.136457976,0.000121811,-0.815428182,0.000103156,111.9597038,81.11409215,9.119507835,14.72635076,24.41489135,26.34766075
Qinghai,0.212126668,0,0,0.020106719,1.35438E-05,0.12936195,3.60824E-05,-0.885966732,6.12875E-05,108.5803662,70.54258076,9.813286013,10.6816605,31.40144535,11.5936466
Shaanxi,0.571012498,0.003337412,0.25,0.037971932,0.00005147,0.130734689,6.95757E-05,-0.968737298,0.000140566,120.804308,72.20916173,14.88379194,16.42763572,20.44509735,15.8884942
Shandong,0.683337503,0.00807822,1.248263177,0.051788926,0.00012514,0.138472662,0.000152215,-0.996324143,0.00017885,145.5117682,93.71796295,11.43473945,20.81740001,30.78519662,25.12524783
Shanghai,2.282595212,0.028945954,1.268115942,0.045641402,0.000178146,0.124858194,0.0000544,-0.943512499,0.000156145,116.4858381,56.53327677,7.11708711,21.46388203,35.04897813,8.954382476
Shanxi,0.368832844,0,0,0.039921494,8.91429E-05,0.138704055,0.000150685,-1.046359199,0.000136368,125.1091274,76.95112914,17.26151672,16.64346389,23.727728,28.48543038
Sichuan,0.793842392,0.00089037,0.086580087,0.038602831,3.75286E-05,0.121486142,3.64524E-05,-0.967978537,0.000144806,108.9663501,57.10991821,8.041226743,13.13608871,25.17285117,9.421542214
Taiwan,1.605719854,0.021183639,1.319261214,0.034858382,0.0000391,0.115054115,-0.0000212,-1.087614478,0.000121268,,,,,,
Tianjin,1.162566639,0.01926906,1.657458564,0.054123741,0.000175042,0.146920615,0.000193416,-0.872867898,0.000198662,134.9772081,84.08845341,13.95421642,21.39236239,21.00883407,16.72570663
Xinjiang Uygur,0.397426499,0.018531552,3.571428571,0.028671066,2.34133E-05,0.142303828,6.80243E-05,-0.533959156,7.83336E-05,107.5310514,87.47276107,11.25884676,13.02429009,24.18365898,7.293536808
Xizang,0.025536516,0,0,0.017502834,8.91286E-06,0.118933703,6.93857E-06,-0.861507323,5.93857E-05,62.14518087,37.17193436,8.433719043,5.690713783,26.18725892,5.552261766
Yunnan,0.342901058,0.00788039,0.986394558,0.031787834,1.84269E-05,0.115465141,1.84102E-05,-1.225282445,0.000118726,73.5394796,36.68066387,6.524628279,7.055527455,26.38407759,7.78357893
Zhejiang,1.559270633,0.000986534,0.018037518,0.04265537,7.17642E-05,0.121312276,2.00473E-05,-1.047459075,0.000163043,113.5436333,54.99716229,8.331518366,16.80380933,30.05335929,8.991516034
