province,prefecture,pop,pop_dens,cases,cases_100k,deaths,deaths_100k,mortality,PM25_sat,NO2_sat,PM25_gr,PM10_gr,CO_gr,NO2_gr,O3_gr,SO2_gr,Z-score,p-value,q-value
Hebei,Langfang,4741000,741.043583,30,0.632777895,0,0,0,69.4583431,5.969803894,162.9463561,109.6519565,12.90089092,24.0198796,25.06554903,17.8505611,-3.543408015,0.002,2
Hebei,Cangzhou,7554900,532.0506977,48,0.635349244,3,0.039709328,6.25,70.97685696,4.667486125,154.1450426,91.41426746,9.053035687,18.76100611,24.6583716,23.5649445,-5.516011285,0.002,2
Hebei,Tangshan,7897000,594.2077604,58,0.734456123,1,0.012663037,1.724137931,53.23421284,5.728599075,150.6982964,100.377029,16.03403324,25.64628312,27.45902914,24.11278695,-1.234787139,0.228,2
Hebei,Zhangjiakou,4433100,120.7709468,41,0.924860707,0,0,0,17.58388429,1.487807068,102.5194407,63.6747965,7.488320492,11.77513745,26.07797097,18.11161285,0.856530626,0.406,3
Heilongjiang,Yichun,1098000,33.29733281,1,0.091074681,0,0,0,14.87932678,0.520125313,62.27582313,36.83272651,3.826111294,7.257188397,18.44646785,3.75122695,1.458373036,0.13,3
Heilongjiang,Hegang,1037000,72.26209739,5,0.482160077,0,0,0,14.4070776,0.697160917,100.1861019,53.08938895,8.976847132,6.646547637,22.82529906,5.748824326,1.350567022,0.17,3
Heilongjiang,Mudanjiang,2755000,71.22609104,25,0.54446461,0,0,0,19.47517271,0.881463045,110.5391226,60.47843236,7.437150463,12.38832878,28.17467953,10.89565035,0.955963257,0.338,3
Heilongjiang,Jiamusi,2518000,78.99145258,15,0.595710882,0,0,0,16.67792767,0.77917014,76.69888482,38.33134546,7.91165173,11.11483286,23.87001156,5.671286433,1.51265099,0.134,3
Heilongjiang,Daxing'anling,471000,7.273398603,3,0.636942675,0,0,0,7.948349518,0.17798435,,,,,,,2.025283806,0.032,3
Heilongjiang,Daqing,3184000,153.7633815,27,0.816582915,1,0.031407035,3.846153846,26.70691829,1.344998627,103.0159952,49.35217426,5.671111096,11.86864341,34.05778782,9.390529226,0.654869676,0.54,3
